iter	RMSE
0	17297.10436
1	16807.05559
2	16332.16036
3	15872.36104
4	15425.80437
5	14990.30167
6	14572.38283
7	14162.2566
8	13765.00244
9	13379.08727
10	13006.6188
11	12643.77697
12	12294.05206
13	11950.34094
14	11616.12219
15	11292.58233
16	10981.67364
17	10677.09282
18	10381.28224
19	10096.68308
20	9818.705193
21	9550.193732
22	9288.196384
23	9033.381706
24	8788.645298
25	8548.827287
26	8319.58388
27	8094.979784
28	7877.196841
29	7665.017189
30	7459.976464
31	7259.67524
32	7067.946538
33	6878.987434
34	6695.347321
35	6519.396599
36	6346.067489
37	6179.157228
38	6018.162258
39	5861.53685
40	5709.176113
41	5561.43557
42	5417.083594
43	5278.275012
44	5141.025693
45	5009.226881
46	4879.651048
47	4754.607955
48	4634.140156
49	4516.552969
50	4404.265385
51	4292.435458
52	4184.732879
53	4082.019265
54	3979.747697
55	3882.633853
56	3785.727491
57	3693.090777
58	3602.272135
59	3513.958593
60	3429.795091
61	3347.337054
62	3266.11193
63	3187.666262
64	3111.296571
65	3038.220576
66	2967.645981
67	2898.464275
68	2831.173965
69	2765.738138
70	2701.923042
71	2640.156694
72	2580.234982
73	2522.550535
74	2465.934748
75	2411.535127
76	2357.714068
77	2305.76704
78	2255.638656
79	2207.061929
80	2159.914558
81	2113.929342
82	2070.178425
83	2026.579832
84	1983.486873
85	1942.103321
86	1902.212652
87	1863.889964
88	1826.092422
89	1789.761979
90	1753.749016
91	1719.593846
92	1686.797228
93	1654.280183
94	1621.323972
95	1590.313023
96	1560.834413
97	1531.406884
98	1503.187876
99	1475.464669
100	1448.164504
101	1422.361339
102	1396.110301
103	1371.400586
104	1347.856546
105	1324.476491
106	1301.823829
107	1278.964436
108	1256.621163
109	1235.309042
110	1215.026263
111	1195.143942
112	1175.235882
113	1156.939901
114	1139.500612
115	1120.1872
116	1103.197477
117	1085.75144
118	1070.15148
119	1054.359981
120	1037.488168
121	1021.69072
122	1006.576416
123	991.5844357
124	977.2023161
125	963.061121
126	950.0064819
127	936.1722936
128	923.7956707
129	911.1790634
130	899.2610398
131	887.4513305
132	875.2400078
133	864.3639237
134	853.6322094
135	843.3622086
136	833.6271057
137	823.4870471
138	814.4401557
139	804.6100727
140	795.1230663
141	786.0711893
142	777.5830686
143	769.3504923
144	760.4373469
145	752.1842458
146	743.9425376
147	735.8548449
148	727.7323503
149	719.7083873
150	712.4945167
151	705.1387686
152	698.118215
153	690.6747849
154	683.6909983
155	676.630703
156	670.0852391
157	663.7061833
158	657.6761359
159	652.1181593
160	645.6948942
161	639.9638673
162	634.4128263
163	628.3517127
164	622.7883363
165	617.1324463
166	611.5719247
167	606.631891
168	601.6580076
169	596.402228
170	591.9248299
171	587.2606354
172	582.9811413
173	577.8794293
174	573.5488663
175	569.1045208
176	564.7626643
177	560.4072287
178	556.3203058
179	552.554628
180	548.4856018
181	544.8155886
182	541.2892939
183	537.5509048
184	534.174069
185	531.301322
186	528.3389941
187	524.7120926
188	521.3489926
189	517.8651898
190	514.2403666
191	511.1424294
192	507.2082147
193	504.1505791
194	500.9921605
195	497.8592302
196	495.0172683
197	491.9929084
198	489.5504227
199	486.5655958
200	483.9112626
201	481.2125736
202	478.6702656
203	476.468399
204	474.3092969
205	471.7330407
206	469.1463992
207	466.5071729
208	464.169424
209	461.7884571
210	459.7476062
211	457.1437853
212	454.6946377
213	452.6336865
214	450.464622
215	448.446351
216	446.7556469
217	443.7101371
218	441.6178237
219	440.0176453
220	437.6838614
221	435.947483
222	433.979648
223	432.3151746
224	430.5179788
225	428.5608232
226	426.3871197
227	424.5387362
228	422.579132
229	420.4682307
230	418.8830661
231	416.785131
232	415.4315446
233	413.696585
234	412.521729
235	410.5860137
236	409.2075948
237	407.4381827
238	406.1072141
239	404.1746483
240	402.5321107
241	400.8681281
242	399.2762949
243	397.6647456
244	396.1225082
245	394.4934183
246	393.2640254
247	392.159751
248	390.5437829
249	389.3663417
250	388.2038723
251	387.1230405
252	385.6118553
253	384.3740882
254	383.507115
255	382.5167535
256	381.5780593
257	380.1083546
258	378.7499651
259	377.2577566
260	376.3397036
261	375.2206878
262	374.3747672
263	373.3990318
264	372.2979805
265	371.0708561
266	369.8753498
267	368.7851658
268	367.7416508
269	366.8638896
270	365.6993707
271	364.9105037
272	363.712845
273	362.8580358
274	361.3946341
275	360.603071
276	359.5026404
277	358.8379999
278	357.8038361
279	356.8926425
280	355.8836337
281	355.0401231
282	354.1381344
283	353.4401852
284	352.3112755
285	351.4824234
286	350.776709
287	350.1548511
288	349.3334262
289	348.5755437
290	347.7537427
291	347.0350471
292	346.3371458
293	345.5965824
294	344.5142003
295	343.7474686
296	342.9197372
297	341.935905
298	341.3653854
299	340.7207992
300	340.0713478
301	339.5674387
302	338.8252077
303	338.1271278
304	337.273723
305	336.6799373
306	336.0378385
307	335.3375969
308	334.8045406
309	333.9402559
310	333.1663694
311	332.5595617
312	331.7858067
313	331.1273549
314	330.3835967
315	329.4678373
316	328.9525175
317	328.3916134
318	327.8506742
319	326.9293358
320	326.3874175
321	325.6652757
322	325.0616642
323	324.6253577
324	324.0289862
325	323.4124536
326	322.5494607
327	321.8607542
328	321.4058113
329	320.5625684
330	320.0296425
331	319.3455136
332	318.7445349
333	318.2372625
334	317.7896086
335	317.1590324
336	316.2822924
337	315.5103605
338	315.0163759
339	314.529984
340	313.9929403
341	313.3525734
342	312.5178001
343	312.1483977
344	311.673141
345	311.3097839
346	310.5746915
347	310.0055595
348	309.3289699
349	308.8292763
350	308.3436801
351	307.7375664
352	307.2702104
353	306.6725782
354	305.973755
355	305.2245841
356	304.805767
357	304.2437522
358	303.6736617
359	303.3270244
360	302.8463961
361	302.3356985
362	301.8586377
363	301.4074827
364	300.8936299
365	300.5727433
366	300.0324024
367	299.4456863
368	299.0388558
369	298.488307
370	297.9811743
371	297.5370695
372	297.2025639
373	296.8585503
374	296.4424606
375	295.9325062
376	295.4987708
377	294.9566549
378	294.5764437
379	294.0767874
380	293.7498123
381	293.2347218
382	292.8500358
383	292.5409042
384	292.1484259
385	291.7275035
386	291.1621755
387	290.56304
388	290.3033804
389	289.7748638
390	289.3125116
391	288.9165264
392	288.5196729
393	288.193471
394	287.8161377
395	287.462426
396	287.1004685
397	286.6821382
398	286.3026336
399	285.8702604
400	285.6138785
401	285.3320604
402	285.0126966
403	284.5515701
404	284.2020469
405	283.8377204
406	283.4861871
407	283.2556433
408	282.8514885
409	282.4132967
410	282.0516418
411	281.6957019
412	281.3292037
413	280.8835374
414	280.6120459
415	280.3268812
416	279.936548
417	279.7100364
418	279.3075134
419	278.9399467
420	278.7022485
421	278.3995297
422	277.9067384
423	277.5809219
424	277.2002406
425	276.8791483
426	276.519807
427	276.2898052
428	276.0032952
429	275.6203911
430	275.201356
431	274.9023672
432	274.5512918
433	274.333773
434	273.9172931
435	273.6587238
436	273.3376394
437	273.0187342
438	272.7353696
439	272.5279561
440	272.2647599
441	271.9424629
442	271.5424036
443	271.2399497
444	270.9888514
445	270.6655934
446	270.4078151
447	270.143437
448	269.9534102
449	269.7023242
450	269.3895258
451	269.1301323
452	268.7405164
453	268.3859071
454	268.1554425
455	267.9181248
456	267.6661005
457	267.2636201
458	266.9769318
459	266.6792948
460	266.4233084
461	266.2299226
462	265.9956813
463	265.7135845
464	265.4350361
465	265.1877287
466	264.8989078
467	264.6126268
468	264.3263559
469	264.1143296
470	263.8799053
471	263.5993045
472	263.299835
473	262.9885109
474	262.6843876
475	262.4341082
476	262.2744815
477	262.005645
478	261.6534924
479	261.4056247
480	261.1153981
481	260.9359257
482	260.7008226
483	260.43281
484	260.275683
485	260.0546718
486	259.7965083
487	259.5550989
488	259.2921142
489	259.12275
490	258.8683033
491	258.6563244
492	258.4651597
493	258.2307562
494	257.9580335
495	257.7338389
496	257.5504496
497	257.3152363
498	257.0653134
499	256.8672235
500	256.639827
501	256.402034
502	256.187637
503	255.9673817
504	255.701227
505	255.4792275
506	255.2891404
507	255.0039454
508	254.7787882
509	254.5667279
510	254.3289452
511	254.1662376
512	253.969718
513	253.8158171
514	253.6638123
515	253.4584618
516	253.298977
517	253.1569042
518	252.9794191
519	252.7496725
520	252.5797859
521	252.3566212
522	252.1111444
523	251.860305
524	251.6457733
525	251.4252171
526	251.2208035
527	251.018234
528	250.7887875
529	250.5932612
530	250.3977512
531	250.2404096
532	250.0324409
533	249.650715
534	249.4530368
535	249.2629611
536	249.1099736
537	248.9438427
538	248.8146962
539	248.6059117
540	248.3971585
541	248.1544141
542	247.9424043
543	247.8013702
544	247.653813
545	247.3158788
546	247.1565141
547	246.9883352
548	246.5512564
549	246.4026929
550	246.1298544
551	245.9350231
552	245.716179
553	245.4432545
554	245.3021756
555	245.1450399
556	245.0033699
557	244.8744529
558	244.665431
559	244.5069961
560	244.3163379
561	244.0778923
562	243.9281198
563	243.7598707
564	243.6220717
565	243.423396
566	243.3074662
567	243.1002171
568	242.9357359
569	242.7554585
570	242.5598604
571	242.4087635
572	242.2201093
573	242.0772519
574	241.9498859
575	241.8312003
576	241.6773222
577	241.5602291
578	241.4048513
579	241.2225027
580	241.1054144
581	240.9382044
582	240.7488873
583	240.5732017
584	240.4313769
585	240.2912541
586	240.003901
587	239.8285266
588	239.668256
589	239.5449834
590	239.3667477
