epoch,step,train_loss,train_mean_squared_error,valid_loss,valid_mean_squared_error
0,49,1687002880.0,,,
0,99,1684367616.0,,,
0,149,1710713984.0,,,
0,199,1743441536.0,,,
0,249,1763239424.0,,,
0,299,1652458752.0,,,
0,349,1689512704.0,,,
0,399,1722946944.0,,,
0,449,1771698432.0,,,
0,499,1810969856.0,,,
0,549,1793229184.0,,,
0,599,1752499072.0,,,
0,649,1640673152.0,,,
0,683,,,1714305408.0,1714305408.0
0,683,,1733814016.0,,
1,699,1691619968.0,,,
1,749,1730754304.0,,,
1,799,1666567040.0,,,
1,849,1823939328.0,,,
1,899,1662939904.0,,,
1,949,1699608832.0,,,
1,999,1742697600.0,,,
1,1049,1648258816.0,,,
1,1099,1768722176.0,,,
1,1149,1742743040.0,,,
1,1199,1642170624.0,,,
1,1249,1690615808.0,,,
1,1299,1579035136.0,,,
1,1349,1653091072.0,,,
1,1367,,,1644897536.0,1644897536.0
1,1367,,1682932480.0,,
2,1399,1596608256.0,,,
2,1449,1606341632.0,,,
2,1499,1589576960.0,,,
2,1549,1660766464.0,,,
2,1599,1657637376.0,,,
2,1649,1552896896.0,,,
2,1699,1678445952.0,,,
2,1749,1607018496.0,,,
2,1799,1592395136.0,,,
2,1849,1549375360.0,,,
2,1899,1621365248.0,,,
2,1949,1449256192.0,,,
2,1999,1500885632.0,,,
2,2049,1553440768.0,,,
2,2051,,,1544247040.0,1544247040.0
2,2051,,1597485696.0,,
3,2099,1533144064.0,,,
3,2149,1560827136.0,,,
3,2199,1577215744.0,,,
3,2249,1524965632.0,,,
3,2299,1491149696.0,,,
3,2349,1547015936.0,,,
3,2399,1423622272.0,,,
3,2449,1394759936.0,,,
3,2499,1499888128.0,,,
3,2549,1465865856.0,,,
3,2599,1404302464.0,,,
3,2649,1413389568.0,,,
3,2699,1406780544.0,,,
3,2735,,,1416236928.0,1416236928.0
3,2735,,1482710528.0,,
4,2749,1409916416.0,,,
4,2799,1348501760.0,,,
4,2849,1564375552.0,,,
4,2899,1432289408.0,,,
4,2949,1331728128.0,,,
4,2999,1278407936.0,,,
4,3049,1326080512.0,,,
4,3099,1387629056.0,,,
4,3149,1363053440.0,,,
4,3199,1420814208.0,,,
4,3249,1340335872.0,,,
4,3299,1190470656.0,,,
4,3349,1246982400.0,,,
4,3399,1134461184.0,,,
4,3419,,,1269143936.0,1269143936.0
4,3419,,1344233344.0,,
5,3449,1256313856.0,,,
5,3499,1226762496.0,,,
5,3549,1250872704.0,,,
5,3599,1183155712.0,,,
5,3649,1170924800.0,,,
5,3699,1269731840.0,,,
5,3749,1199790336.0,,,
5,3799,1064648576.0,,,
5,3849,1253351424.0,,,
5,3899,1173111808.0,,,
5,3949,1127786496.0,,,
5,3999,1159462144.0,,,
5,4049,1108337664.0,,,
5,4099,1144990976.0,,,
5,4103,,,1113979008.0,1113979008.0
5,4103,,1192251776.0,,
6,4149,1122166656.0,,,
6,4199,1155050240.0,,,
6,4249,1108368896.0,,,
6,4299,1079113600.0,,,
6,4349,1046130048.0,,,
6,4399,999281600.0,,,
6,4449,1006745600.0,,,
6,4499,1118998144.0,,,
6,4549,984390784.0,,,
6,4599,984077248.0,,,
6,4649,951607424.0,,,
6,4699,1013738880.0,,,
6,4749,980596544.0,,,
6,4787,,,959308608.0,959308608.0
6,4787,,1036719872.0,,
7,4799,1035330048.0,,,
7,4849,985522944.0,,,
7,4899,935365312.0,,,
7,4949,961177088.0,,,
7,4999,930502720.0,,,
7,5049,904281024.0,,,
7,5099,883081728.0,,,
7,5149,869419200.0,,,
7,5199,877827392.0,,,
7,5249,884806528.0,,,
7,5299,838043840.0,,,
7,5349,936272576.0,,,
7,5399,805665728.0,,,
7,5449,807466944.0,,,
7,5471,,,812013312.0,812013312.0
7,5471,,885948224.0,,
8,5499,839426944.0,,,
8,5549,814022400.0,,,
8,5599,760857984.0,,,
8,5649,790709632.0,,,
8,5699,778594048.0,,,
8,5749,787943168.0,,,
8,5799,730628992.0,,,
8,5849,771403968.0,,,
8,5899,741145216.0,,,
