epoch,step,train_loss,train_mean_squared_error,valid_loss,valid_mean_squared_error
0,49,1749037824.0,,,
0,99,1649448704.0,,,
0,149,1621309056.0,,,
0,199,1685264384.0,,,
0,249,1748896000.0,,,
0,299,1701182720.0,,,
0,349,1666868992.0,,,
0,399,1791587072.0,,,
0,449,1732301184.0,,,
0,499,1837143424.0,,,
0,549,1724296960.0,,,
0,599,1879704448.0,,,
0,649,1769993472.0,,,
0,683,,,1742472320.0,1742472320.0
0,683,,1745197696.0,,
1,699,1721529088.0,,,
1,749,1937971456.0,,,
1,799,1651941888.0,,,
1,849,1854045824.0,,,
1,899,1783484416.0,,,
1,949,1830933504.0,,,
1,999,1755435264.0,,,
1,1049,1835119616.0,,,
1,1099,1808917888.0,,,
1,1149,1779995392.0,,,
1,1199,1802436736.0,,,
1,1249,1760534272.0,,,
1,1299,1839953664.0,,,
1,1349,1745088768.0,,,
1,1367,,,1734033920.0,1734033920.0
1,1367,,1738984320.0,,
2,1399,1729954816.0,,,
2,1449,1699168256.0,,,
2,1499,1707892480.0,,,
2,1549,1690861440.0,,,
2,1599,1732383872.0,,,
2,1649,1649312640.0,,,
2,1699,1712640000.0,,,
2,1749,1572024576.0,,,
2,1799,1789746176.0,,,
2,1849,1701993984.0,,,
2,1899,1851210496.0,,,
2,1949,1712958464.0,,,
2,1999,1760685312.0,,,
2,2049,1700779520.0,,,
2,2051,,,1721692160.0,1721692160.0
2,2051,,1728542976.0,,
3,2099,1726367744.0,,,
3,2149,1761092224.0,,,
3,2199,1742770432.0,,,
3,2249,1716018688.0,,,
3,2299,1690142976.0,,,
3,2349,1783693312.0,,,
3,2399,1693121792.0,,,
3,2449,1733534976.0,,,
3,2499,1795876608.0,,,
3,2549,1877194112.0,,,
3,2599,1728977408.0,,,
3,2649,1617094272.0,,,
3,2699,1705062656.0,,,
3,2735,,,1706014848.0,1706014848.0
3,2735,,1714493824.0,,
4,2749,1836400000.0,,,
4,2799,1719791360.0,,,
4,2849,1631209728.0,,,
4,2899,1694417664.0,,,
4,2949,1696266240.0,,,
4,2999,1648173312.0,,,
4,3049,1787247104.0,,,
4,3099,1728559104.0,,,
4,3149,1677183232.0,,,
4,3199,1691180160.0,,,
4,3249,1702439424.0,,,
4,3299,1673004672.0,,,
4,3349,1625164288.0,,,
4,3399,1739545216.0,,,
4,3419,,,1687453056.0,1687453056.0
4,3419,,1697345024.0,,
5,3449,1794321920.0,,,
5,3499,1647340032.0,,,
5,3549,1646136576.0,,,
5,3599,1748223104.0,,,
5,3649,1758475008.0,,,
5,3699,1631334912.0,,,
5,3749,1680068480.0,,,
5,3799,1641996032.0,,,
5,3849,1563598080.0,,,
5,3899,1793679104.0,,,
5,3949,1721796864.0,,,
5,3999,1595868672.0,,,
5,4049,1716034816.0,,,
5,4099,1655212288.0,,,
5,4103,,,1666320512.0,1666320512.0
5,4103,,1677477504.0,,
6,4149,1684612480.0,,,
6,4199,1721772800.0,,,
6,4249,1703647616.0,,,
6,4299,1660019712.0,,,
6,4349,1587897344.0,,,
6,4399,1598728064.0,,,
6,4449,1621137152.0,,,
6,4499,1614127360.0,,,
6,4549,1542060160.0,,,
6,4599,1624741632.0,,,
6,4649,1548521472.0,,,
6,4699,1519355776.0,,,
6,4749,1499051904.0,,,
6,4787,,,1642845568.0,1642845568.0
6,4787,,1655155968.0,,
7,4799,1738515584.0,,,
7,4849,1564181376.0,,,
7,4899,1635731968.0,,,
7,4949,1764202624.0,,,
7,4999,1614388224.0,,,
7,5049,1581220352.0,,,
7,5099,1660718848.0,,,
7,5149,1605752064.0,,,
7,5199,1614139648.0,,,
7,5249,1551393280.0,,,
7,5299,1617853440.0,,,
7,5349,1688061440.0,,,
7,5399,1632672768.0,,,
7,5449,1645209856.0,,,
7,5471,,,1617183488.0,1617183488.0
7,5471,,1630571904.0,,
8,5499,1628535040.0,,,
8,5549,1626468608.0,,,
8,5599,1638901504.0,,,
8,5649,1649504512.0,,,
8,5699,1627636992.0,,,
8,5749,1668693248.0,,,
8,5799,1636387200.0,,,
8,5849,1636627712.0,,,
8,5899,1650774016.0,,,
8,5949,1674045952.0,,,
8,5999,1516268544.0,,,
8,6049,1533009152.0,,,
8,6099,1637636864.0,,,
8,6149,1458352384.0,,,
8,6155,,,1589475584.0,1589475584.0
8,6155,,1603876096.0,,
9,6199,1585237888.0,,,
9,6249,1712580096.0,,,
9,6299,1682681216.0,,,
9,6349,1524451584.0,,,
9,6399,1545223680.0,,,
9,6449,1547591040.0,,,
9,6499,1711947648.0,,,
9,6549,1704865664.0,,,
9,6599,1507374336.0,,,
9,6649,1682334080.0,,,
9,6699,1600044672.0,,,
9,6749,1650774144.0,,,
9,6799,1547143552.0,,,
9,6839,,,1559868928.0,1559868928.0
9,6839,,1575210496.0,,
10,6849,1514521088.0,,,
10,6899,1551366784.0,,,
10,6949,1561710592.0,,,
10,6999,1608917376.0,,,
10,7049,1452697344.0,,,
10,7099,1613017088.0,,,
10,7149,1583509888.0,,,
10,7199,1478871296.0,,,
10,7249,1592834560.0,,,
10,7299,1488225920.0,,,
10,7349,1517343744.0,,,
10,7399,1537596544.0,,,
10,7449,1555458944.0,,,
10,7499,1500735360.0,,,
10,7523,,,1528456320.0,1528456320.0
10,7523,,1544688768.0,,
11,7549,1523939840.0,,,
11,7599,1485957376.0,,,
11,7649,1354074368.0,,,
11,7699,1476384768.0,,,
11,7749,1527257088.0,,,
